timestamp,bid,ask,symbol
2024-01-01T00:00:00+00:00,1.09500,1.09505,EURUSD
2024-01-01T00:01:00+00:00,1.09510,1.09515,EURUSD
2024-01-01T00:02:00+00:00,1.09520,1.09525,EURUSD
2024-01-01T00:03:00+00:00,1.09515,1.09520,EURUSD
2024-01-01T00:04:00+00:00,1.09525,1.09530,EURUSD
2024-01-01T00:05:00+00:00,1.09530,1.09535,EURUSD
2024-01-01T00:06:00+00:00,1.09520,1.09525,EURUSD
2024-01-01T00:07:00+00:00,1.09510,1.09515,EURUSD
2024-01-01T00:08:00+00:00,1.09500,1.09505,EURUSD
2024-01-01T00:09:00+00:00,1.09505,1.09510,EURUSD
